title,score,members,favorites,episodes,status,genres,season,year
Jujutsu Kaisen,8.51,2983273,95527,24,Finished Airing,"['Action', 'Award Winning', 'Supernatural']",fall,2020
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.54,1756871,13487,1,Finished Airing,"['Action', 'Supernatural']",fall,2020
Haikyuu!! To the Top Part 2,8.56,918587,6479,12,Finished Airing,['Sports'],fall,2020
Tonikaku Kawaii,7.84,829699,10466,12,Finished Airing,"['Comedy', 'Romance']",fall,2020
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.46,674005,1966,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2020
Josee to Tora to Sakana-tachi,8.38,521054,7120,1,Finished Airing,"['Drama', 'Romance']",fall,2020
Yuukoku no Moriarty,8.17,502486,8300,11,Finished Airing,"['Mystery', 'Suspense']",fall,2020
Akudama Drive,7.56,486641,4036,12,Finished Airing,"['Action', 'Sci-Fi', 'Suspense']",fall,2020
Majo no Tabitabi,7.56,453534,4385,12,Finished Airing,"['Adventure', 'Fantasy']",fall,2020
Mahouka Koukou no Rettousei: Raihousha-hen,7.26,393129,1251,13,Finished Airing,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",fall,2020
Munou na Nana,7.16,374896,1737,13,Finished Airing,['Suspense'],fall,2020
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",6.71,347890,1476,12,Finished Airing,"['Action', 'Fantasy', 'Romance']",fall,2020
100-man no Inochi no Ue ni Ore wa Tatteiru,6.52,330870,712,12,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2020
Noblesse,6.9,325530,1291,13,Finished Airing,"['Action', 'Supernatural']",fall,2020
Higurashi no Naku Koro ni Gou,7.21,301406,1646,24,Finished Airing,"['Horror', 'Mystery', 'Suspense']",fall,2020
Kamisama ni Natta Hi,6.8,283092,1632,12,Finished Airing,['Drama'],fall,2020
Burn the Witch,7.14,281261,746,3,Finished Airing,"['Action', 'Fantasy']",fall,2020
Kami-tachi ni Hirowareta Otoko,6.96,251066,1175,12,Finished Airing,"['Fantasy', 'Slice of Life']",fall,2020
Maoujou de Oyasumi,7.95,246186,2548,12,Finished Airing,"['Comedy', 'Fantasy']",fall,2020
Adachi to Shimamura,7.08,210088,1648,12,Finished Airing,['Girls Love'],fall,2020
Golden Kamuy 3rd Season,8.43,197662,1621,12,Finished Airing,"['Action', 'Adventure']",fall,2020
Kuma Kuma Kuma Bear,7.23,186305,1052,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",fall,2020
Tian Guan Cifu,8.42,174991,6150,11,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2020
Hanyou no Yashahime: Sengoku Otogizoushi,6.69,132030,656,24,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2020
Ikebukuro West Gate Park,6.87,127991,372,12,Finished Airing,"['Drama', 'Mystery']",fall,2020
Jujutsu Kaisen 0 Movie,8.37,1228946,11100,1,Finished Airing,"['Action', 'Supernatural']",fall,2021
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.61,1103606,19195,12,Finished Airing,"['Adventure', 'Drama', 'Fantasy', 'Ecchi']",fall,2021
"Komi-san wa, Comyushou desu.",7.79,1001249,12286,12,Finished Airing,['Comedy'],fall,2021
Kimetsu no Yaiba: Mugen Ressha-hen,8.34,960207,4652,7,Finished Airing,"['Action', 'Supernatural']",fall,2021
Ousama Ranking,8.48,747821,13752,23,Finished Airing,"['Adventure', 'Fantasy']",fall,2021
86 Part 2,8.72,629902,18302,12,Finished Airing,"['Drama', 'Sci-Fi']",fall,2021
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",7.31,627677,4436,12,Finished Airing,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance']",fall,2021
JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.06,598966,7393,12,Finished Airing,"['Action', 'Adventure']",fall,2021
Takt Op. Destiny,7.16,566993,4839,12,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",fall,2021
Mieruko-chan,7.38,552129,3417,12,Finished Airing,"['Comedy', 'Horror']",fall,2021
Blue Period,7.79,524590,6796,12,Finished Airing,['Drama'],fall,2021
Platinum End,6.02,416855,2561,24,Finished Airing,"['Drama', 'Supernatural', 'Suspense']",fall,2021
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",6.91,385109,2110,13,Finished Airing,"['Fantasy', 'Romance']",fall,2021
Senpai ga Uzai Kouhai no Hanashi,7.53,375107,1748,12,Finished Airing,"['Comedy', 'Romance']",fall,2021
Saihate no Paladin,6.88,351206,1500,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2021
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,7.94,284320,2159,1,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2021
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,6.16,238725,1005,12,Finished Airing,"['Adventure', 'Fantasy', 'Romance']",fall,2021
Kaizoku Oujo,7.08,225928,1290,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2021
Xian Wang de Richang Shenghuo 2,7.37,185463,674,12,Finished Airing,"['Adventure', 'Comedy', 'Fantasy']",fall,2021
Gokushufudou Part 2,7.54,181770,373,5,Finished Airing,['Comedy'],fall,2021
Tsuki to Laika to Nosferatu,7.33,174771,810,12,Finished Airing,['Fantasy'],fall,2021
Taishou Otome Otogibanashi,7.78,170453,1242,12,Finished Airing,"['Comedy', 'Drama', 'Romance']",fall,2021
Summer Ghost,7.91,148202,1248,1,Finished Airing,"['Drama', 'Supernatural']",fall,2021
World Trigger 3rd Season,8.24,139340,1290,14,Finished Airing,"['Action', 'Sci-Fi']",fall,2021
Ai no Utagoe wo Kikasete,7.66,122616,757,1,Finished Airing,"['Drama', 'Sci-Fi']",fall,2021
Chainsaw Man,8.43,1922428,55090,12,Finished Airing,"['Action', 'Fantasy']",fall,2022
Spy x Family Part 2,8.2,1116693,7661,13,Finished Airing,"['Action', 'Comedy']",fall,2022
Blue Lock,8.12,878886,14429,24,Finished Airing,['Sports'],fall,2022
Kage no Jitsuryokusha ni Naritakute!,8.22,846635,18025,20,Finished Airing,"['Action', 'Comedy', 'Fantasy']",fall,2022
Mob Psycho 100 III,8.71,845153,12477,12,Finished Airing,"['Action', 'Comedy', 'Supernatural']",fall,2022
Boku no Hero Academia 6th Season,8.22,806112,7354,25,Finished Airing,['Action'],fall,2022
Bocchi the Rock!,8.73,773247,36129,12,Finished Airing,['Comedy'],fall,2022
Bleach: Sennen Kessen-hen,8.98,690298,23064,13,Finished Airing,"['Action', 'Adventure', 'Supernatural']",fall,2022
Suzume no Tojimari,8.24,492649,5425,1,Finished Airing,"['Adventure', 'Supernatural']",fall,2022
"Fuufu Ijou, Koibito Miman.",7.59,419289,4862,12,Finished Airing,['Romance'],fall,2022
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.72,371526,2320,1,Finished Airing,"['Comedy', 'Drama', 'Romance']",fall,2022
Fumetsu no Anata e Season 2,8.11,334758,1756,20,Finished Airing,"['Adventure', 'Drama', 'Supernatural']",fall,2022
Tensei shitara Ken deshita,7.49,332801,1892,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2022
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.51,290313,3499,14,Finished Airing,"['Action', 'Adventure']",fall,2022
Romantic Killer,7.91,287326,3308,12,Finished Airing,"['Comedy', 'Romance', 'Supernatural']",fall,2022
Uzaki-chan wa Asobitai! Double,7.24,249562,945,13,Finished Airing,"['Comedy', 'Romance']",fall,2022
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,7.62,243981,1358,1,Finished Airing,"['Action', 'Comedy', 'Fantasy']",fall,2022
Mairimashita! Iruma-kun 3rd Season,7.83,243828,1334,21,Finished Airing,"['Comedy', 'Fantasy']",fall,2022
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",6.9,240027,1151,13,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2022
Akuyaku Reijou nanode Last Boss wo Kattemimashita,7.19,216355,1198,12,Finished Airing,"['Comedy', 'Fantasy', 'Romance']",fall,2022
Urusei Yatsura (2022),7.4,202290,1251,23,Finished Airing,"['Comedy', 'Romance', 'Sci-Fi']",fall,2022
Akiba Meido Sensou,7.58,191247,1291,12,Finished Airing,"['Action', 'Comedy']",fall,2022
Shinobi no Ittoki,6.06,188251,708,12,Finished Airing,['Action'],fall,2022
Kidou Senshi Gundam: Suisei no Majo,7.84,184632,1863,12,Finished Airing,['Sci-Fi'],fall,2022
Renai Flops,6.69,177798,864,12,Finished Airing,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",fall,2022
Sousou no Frieren,9.28,1354878,86012,28,Finished Airing,"['Adventure', 'Drama', 'Fantasy']",fall,2023
Kusuriya no Hitorigoto,8.85,805604,27072,24,Finished Airing,"['Drama', 'Mystery']",fall,2023
Spy x Family Season 2,8.06,663555,3779,12,Finished Airing,"['Action', 'Comedy']",fall,2023
Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.26,520753,5192,12,Finished Airing,"['Action', 'Comedy', 'Fantasy']",fall,2023
Tate no Yuusha no Nariagari Season 3,7.08,516136,6141,12,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy']",fall,2023
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",8.1,447949,3927,25,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2023
Dr. Stone: New World Part 2,8.3,416978,1626,11,Finished Airing,"['Adventure', 'Comedy']",fall,2023
Goblin Slayer II,7.2,407898,3185,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2023
Undead Unluck,7.74,342112,1919,24,Finished Airing,"['Action', 'Comedy']",fall,2023
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,7.68,321015,3071,12,Finished Airing,"['Comedy', 'Romance']",fall,2023
Ragna Crimson,7.55,276092,1601,24,Finished Airing,"['Action', 'Fantasy']",fall,2023
Tokyo Revengers: Tenjiku-hen,7.81,267341,1610,13,Finished Airing,"['Action', 'Drama']",fall,2023
Boushoku no Berserk,6.72,252268,1028,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2023
Pluto,8.44,244984,3300,8,Finished Airing,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",fall,2023
Spy x Family Movie: Code: White,8.1,242816,715,1,Finished Airing,"['Action', 'Comedy']",fall,2023
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",6.75,226827,1639,12,Finished Airing,['Romance'],fall,2023
Hametsu no Oukoku,6.22,226602,1003,12,Finished Airing,"['Action', 'Drama', 'Fantasy', 'Sci-Fi']",fall,2023
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,8.28,177601,667,1,Finished Airing,"['Drama', 'Romance', 'Supernatural']",fall,2023
Seiken Gakuin no Makentsukai,6.2,175390,868,12,Finished Airing,"['Action', 'Fantasy']",fall,2023
Kikansha no Mahou wa Tokubetsu desu,7.05,172521,496,12,Finished Airing,"['Action', 'Fantasy']",fall,2023
Kamonohashi Ron no Kindan Suiri,7.51,163523,1049,13,Finished Airing,"['Comedy', 'Mystery']",fall,2023
Watashi no Oshi wa Akuyaku Reijou.,7.36,149753,1415,12,Finished Airing,"['Comedy', 'Fantasy', 'Girls Love']",fall,2023
Saihate no Paladin: Tetsusabi no Yama no Ou,7.43,143802,385,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2023
Dead Mount Death Play Part 2,7.44,143327,376,12,Finished Airing,"['Action', 'Fantasy']",fall,2023
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",7.14,136435,548,12,Finished Airing,"['Comedy', 'Fantasy', 'Romance']",fall,2023
Dandadan,8.43,935677,15325,12,Finished Airing,"['Action', 'Comedy', 'Supernatural']",fall,2024
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,8.43,480745,6431,16,Finished Airing,"['Drama', 'Fantasy', 'Suspense']",fall,2024
Blue Lock vs. U-20 Japan,7.51,326692,2303,14,Finished Airing,['Sports'],fall,2024
Ao no Hako,8.16,317793,4287,25,Finished Airing,"['Romance', 'Sports']",fall,2024
Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,284550,3643,14,Finished Airing,"['Action', 'Adventure', 'Supernatural']",fall,2024
Chi. Chikyuu no Undou ni Tsuite,8.71,279474,7046,25,Finished Airing,['Drama'],fall,2024
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",8.26,253578,1532,25,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024
Uzumaki,5.67,242371,1240,4,Finished Airing,"['Avant Garde', 'Drama', 'Horror', 'Suspense']",fall,2024
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,7.89,212367,1175,15,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024
Arifureta Shokugyou de Sekai Saikyou Season 3,7.02,197506,1099,16,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024
Seirei Gensouki 2,6.87,195605,1283,12,Finished Airing,"['Action', 'Adventure', 'Fantasy', 'Romance']",fall,2024
Ranma ½ (2024),7.98,164027,1245,12,Finished Airing,"['Action', 'Comedy', 'Romance', 'Ecchi']",fall,2024
Nageki no Bourei wa Intai shitai,7.06,161507,542,13,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024
Raise wa Tanin ga Ii,7.18,150508,790,12,Finished Airing,['Romance'],fall,2024
One Piece Fan Letter,9.02,146654,2543,1,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024
"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",7.58,145667,687,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024
Hitoribocchi no Isekai Kouryaku,6.56,145068,531,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",fall,2024
Kimi wa Meido-sama.,7.06,137308,485,12,Finished Airing,"['Comedy', 'Romance']",fall,2024
Kami no Tou: Koubou-sen,6.88,136353,278,13,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",fall,2024
Maou 2099,7.41,135935,406,12,Finished Airing,"['Action', 'Fantasy', 'Sci-Fi']",fall,2024
Dragon Ball Daima,7.57,134064,926,20,Finished Airing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",fall,2024
Rekishi ni Nokoru Akujo ni Naru zo,7.34,131982,698,13,Finished Airing,"['Comedy', 'Fantasy', 'Romance']",fall,2024
"Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season",7.44,123466,321,12,Finished Airing,"['Adventure', 'Fantasy']",fall,2024
"Kekkon suru tte, Hontou desu ka",7.12,120298,364,12,Finished Airing,['Romance'],fall,2024
Sword Art Online Alternative: Gun Gale Online II,7.14,117404,334,12,Finished Airing,['Action'],fall,2024
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.61,1485556,19039,12,Finished Airing,"['Comedy', 'Romance']",spring,2020
Kami no Tou,7.55,1060508,6918,13,Finished Airing,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",spring,2020
Shokugeki no Souma: Gou no Sara,7.31,582706,1450,13,Finished Airing,"['Gourmet', 'Ecchi']",spring,2020
Fruits Basket 2nd Season,8.53,578838,6453,25,Finished Airing,"['Drama', 'Romance', 'Supernatural']",spring,2020
Gleipnir,6.95,537188,2036,13,Finished Airing,"['Action', 'Mystery', 'Ecchi']",spring,2020
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,7.44,505906,3245,12,Finished Airing,"['Comedy', 'Fantasy', 'Romance']",spring,2020
Nakitai Watashi wa Neko wo Kaburu,7.35,491850,2080,1,Finished Airing,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",spring,2020
Fugou Keiji: Balance:Unlimited,7.5,469462,3012,11,Finished Airing,['Mystery'],spring,2020
BNA,7.34,401125,2853,12,Finished Airing,"['Action', 'Fantasy']",spring,2020
Kakushigoto,7.96,352146,2148,12,Finished Airing,['Comedy'],spring,2020
Yesterday wo Utatte,6.87,332424,1383,12,Finished Airing,"['Drama', 'Romance']",spring,2020
Princess Connect! Re:Dive,7.03,315319,1071,13,Finished Airing,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",spring,2020
"Hachi-nan tte, Sore wa Nai deshou!",6.27,272737,533,12,Finished Airing,"['Action', 'Fantasy']",spring,2020
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,8.07,249855,870,12,Finished Airing,['Fantasy'],spring,2020
Baki: Dai Raitaisai-hen,7.53,236117,550,13,Finished Airing,['Sports'],spring,2020
Arte,7.2,143962,397,12,Finished Airing,['Drama'],spring,2020
Appare-Ranman!,7.24,141401,524,13,Finished Airing,['Comedy'],spring,2020
Kingdom 3rd Season,8.84,131593,2746,26,Finished Airing,['Action'],spring,2020
Tsugu Tsugumomo,7.4,124517,382,12,Finished Airing,"['Action', 'Comedy', 'Supernatural', 'Ecchi']",spring,2020
Shironeko Project: Zero Chronicle,5.4,109972,215,12,Finished Airing,"['Action', 'Adventure', 'Fantasy']",spring,2020
Strike the Blood IV,6.93,95149,184,12,Finished Airing,"['Action', 'Fantasy', 'Ecchi']",spring,2020
Nami yo Kiitekure,7.34,92051,214,12,Finished Airing,"['Comedy', 'Drama']",spring,2020
Houkago Teibou Nisshi,7.44,72035,354,12,Finished Airing,"['Gourmet', 'Slice of Life']",spring,2020
Listeners,5.41,67186,58,12,Finished Airing,['Sci-Fi'],spring,2020
Digimon Adventure:,6.51,61233,212,67,Finished Airing,"['Action', 'Adventure', 'Comedy', 'Fantasy']",spring,2020
Tokyo Revengers,7.82,1394103,25313,24,Finished Airing,"['Action', 'Drama']",spring,2021
Boku no Hero Academia 5th Season,7.35,1341712,10263,25,Finished Airing,['Action'],spring,2021
Fumetsu no Anata e,8.35,986882,16143,20,Finished Airing,"['Adventure', 'Drama', 'Supernatural']",spring,2021
86,8.34,954447,26568,11,Finished Airing,"['Drama', 'Sci-Fi']",spring,2021
"Ijiranaide, Nagatoro-san",7.18,879364,9005,12,Finished Airing,"['Comedy', 'Romance']",spring,2021
Hige wo Soru. Soshite Joshikousei wo Hirou.,7.26,668206,6357,13,Finished Airing,"['Drama', 'Romance']",spring,2021
Vivy: Fluorite Eye's Song,8.38,602618,11483,13,Finished Airing,"['Action', 'Sci-Fi', 'Suspense']",spring,2021
Fruits Basket: The Final,8.94,556503,21277,13,Finished Airing,"['Drama', 'Romance', 'Supernatural']",spring,2021
Odd Taxi,8.63,504041,9126,13,Finished Airing,"['Award Winning', 'Drama', 'Mystery', 'Suspense']",spring,2021
Shiguang Dailiren,8.71,473117,14750,11,Finished Airing,"['Drama', 'Mystery', 'Suspense']",spring,2021
Gokushufudou,7.26,471847,2902,5,Finished Airing,['Comedy'],spring,2021
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,6.68,461389,2779,10,Finished Airing,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",spring,2021
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",6.89,443874,2317,12,Finished Airing,"['Comedy', 'Fantasy']",spring,2021
"Sentouin, Haken shimasu!",7.13,418281,2090,12,Finished Airing,"['Action', 'Comedy', 'Fantasy']",spring,2021
Shuumatsu no Walküre,6.83,385457,2097,12,Finished Airing,"['Action', 'Drama', 'Fantasy']",spring,2021
Tensura Nikki: Tensei shitara Slime Datta Ken,7.59,379369,2151,12,Finished Airing,"['Comedy', 'Fantasy']",spring,2021
Mairimashita! Iruma-kun 2nd Season,8.02,367785,2488,21,Finished Airing,"['Comedy', 'Fantasy']",spring,2021
Osananajimi ga Zettai ni Makenai Love Comedy,6.06,291491,1673,12,Finished Airing,"['Comedy', 'Romance']",spring,2021
Yuukoku no Moriarty Part 2,8.29,289000,3309,13,Finished Airing,"['Mystery', 'Suspense']",spring,2021
Edens Zero,7.24,284550,1977,25,Finished Airing,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",spring,2021
Shaman King (2021),6.91,281824,1759,52,Finished Airing,"['Action', 'Adventure', 'Supernatural']",spring,2021
